Name,RA,DE,class
0042+323,2.3066666666666666,33.021388888888886,lmxb
J0422+32,1.0983333333333334,32.79,lmxb
0512-401,0.5766666666666667,-40.04361111111111,lmxb
0521-720,1.1533333333333333,-71.96000000000001,lmxb
J0532.7-6926,1.78,-69.43833333333333,lmxb
0614+091,0.6883333333333332,9.136944444444444,lmxb
0620-003,1.475,-0.3458333333333333,lmxb
0656-072,2.3833333333333333,-7.263888888888889,lmxb
0748-676,2.1633333333333336,-67.7525,lmxb
J0835.9+5118,2.1,51.309999999999995,lmxb
0836-429,1.6166666666666667,-42.88583333333333,lmxb
0918-549,1.1133333333333333,-55.20666666666667,lmxb
0921-630,1.3116666666666668,-63.294999999999995,lmxb
1009-45,1.0333333333333332,-45.07638888888889,lmxb
J1118+480,0.7808333333333334,48.03691666666666,lmxb
1124-684,1.3116666666666668,-68.67583333333334,lmxb
1254-690,2.5199999999999996,-69.28916666666666,lmxb
1323-619,1.4683333333333333,-62.13611111111111,lmxb
1354-645,2.095,-64.73472222222222,lmxb
1455-314,2.3,-31.66888888888889,lmxb
1516-569,1.3483333333333334,-57.16694444444444,lmxb
1524-617,1.22,-61.882777777777775,lmxb
1543-475,1.71,-47.669444444444444,lmxb
1543-624,2.48,-62.56805555555556,lmxb
J1550-564,2.646333333333333,-56.47638888888889,lmxb
1556-605,0.07166666666666666,-60.738055555555555,lmxb
1603.6+2600,0.9299999999999999,25.8625,lmxb
J1603.9-7753,1.0,-77.885,lmxb
1608-522,1.1166666666666667,-52.42305555555555,lmxb
1617-155,1.5516666666666665,-15.640277777777778,lmxb
1624-490,0.9733333333333333,-49.19027777777777,lmxb
1627-673,1.3466666666666667,-67.46194444444444,lmxb
1630-472,1.1400000000000001,-47.39416666666666,lmxb
1632-477,1.6666666666666667,-47.82694444444445,lmxb
1636-536,2.2583333333333333,-53.75138888888889,lmxb
1642-455,2.295,-45.611111111111114,lmxb
J1655-40,1.8022833333333332,-39.84580555555556,lmxb
1656+354,2.73,35.3425,lmxb
1658-298,0.1716666666666667,-29.945833333333333,lmxb
1659-487,0.8916666666666666,-48.78972222222222,lmxb
1702-363,0.9083333333333333,-36.422777777777775,lmxb
1702-429,0.455,-43.03611111111111,lmxb
1704+240,0.7766666666666667,23.971666666666664,lmxb
1705-250,0.51,-25.091388888888886,lmxb
1705-440,1.1783333333333335,-44.10055555555556,lmxb
1708-408,0.7833333333333333,-40.843333333333334,lmxb
J1709-267,0.8033333333333333,-26.6575,lmxb
J1710-281,0.5383333333333333,-28.131666666666668,lmxb
1711-339,0.7866666666666667,-34.04944444444444,lmxb
J1712.6-3739,0.9666666666666667,-37.64333333333333,lmxb
1715-321,1.3900000000000001,-32.17777777777778,lmxb
1716-249,1.2483333333333335,-25.0175,lmxb
J171824.2-402934,1.0021666666666667,-40.49177777777778,lmxb
J1723-376,1.4,-37.66166666666666,lmxb
1724-356,1.55,-35.73444444444444,lmxb
1724-307,1.4533333333333334,-30.801944444444445,lmxb
1728-337,1.99,-33.834722222222226,lmxb
1728-169,1.77,-16.961666666666666,lmxb
1728-247,1.1033333333333333,-24.745555555555555,lmxb
1730-312,1.6333333333333333,-31.216666666666665,lmxb
1730-335,1.5016666666666665,-33.38777777777778,lmxb
1730-220,2.05,-22.03527777777778,lmxb
1731-260,1.35,-26.085833333333333,lmxb
1732-304,1.96,-30.48222222222222,lmxb
1732-273,1.2333333333333334,-27.425833333333333,lmxb
1734-292,1.65,-29.18,lmxb
1735-269,1.5333333333333332,-27.004444444444445,lmxb
1735-444,2.2383333333333333,-44.45,lmxb
1735-28,1.8333333333333333,-28.483333333333334,lmxb
1736-297,1.8499999999999999,-29.723888888888887,lmxb
1737-31,2.2333333333333334,-30.983333333333334,lmxb
1737-282,2.283333333333333,-28.310000000000002,lmxb
1739-278,2.0166666666666666,-27.783055555555556,lmxb
1739-304,2.1333333333333333,-30.514166666666668,lmxb
1740-294,2.216666666666667,-29.433333333333334,lmxb
1740.7-2942,2.3449999999999998,-29.74527777777778,lmxb
1741.2-2859,1.8900000000000001,-29.0125,lmxb
1741-293,2.283333333333333,-29.351666666666667,lmxb
1741-322,1.5333333333333332,-32.227222222222224,lmxb
1741.9-2853,1.5166666666666666,-28.901666666666664,lmxb
1742-326,1.9833333333333334,-32.69416666666666,lmxb
1742.2-2857,1.9433333333333331,-28.983333333333334,lmxb
1742-294,2.1166666666666667,-29.45,lmxb
1742-289,2.1166666666666667,-29.01861111111111,lmxb
1742.5-2859,2.1783333333333332,-29.003055555555555,lmxb
1742.5-2845,2.215,-28.781388888888888,lmxb
1742.7-2902,2.381666666666667,-29.05611111111111,lmxb
1742.8-2853,1.5333333333333332,-28.91361111111111,lmxb
1742.9-2852,1.615,-28.886944444444445,lmxb
1742-294,1.6366666666666667,-29.51833333333333,lmxb
1742.9-2849,1.695,-28.851111111111113,lmxb
1743.1-2843,1.8533333333333333,-28.735277777777778,lmxb
1743.1-2852,1.8583333333333334,-28.89527777777778,lmxb
1743-288,2.3166666666666664,-28.89472222222222,lmxb
1744-299,1.995,-29.99527777777778,lmxb
J1744-28,2.018333333333333,-28.74138888888889,lmxb
1744-300,1.9983333333333333,-30.041944444444447,lmxb
1744-265,2.5,-26.56361111111111,lmxb
1744-361,1.8233333333333335,-36.13138888888889,lmxb
J1745.6-2901,2.1,-29.02611111111111,lmxb
1745-248,2.533333333333333,-24.894444444444446,lmxb
1745-203,2.4916666666666667,-20.36722222222222,lmxb
1746-331,2.4766666666666666,-33.198611111111106,lmxb
1746.7-3224,1.7249999999999999,-32.42861111111111,lmxb
1746-370,1.8783333333333334,-37.05222222222222,lmxb
1747-214,2.095,-21.4225,lmxb
1747-313,2.425,-31.292222222222225,lmxb
J1748-288,1.6843333333333332,-28.47383333333333,lmxb
J1748.9-2021,2.49,-20.361944444444447,lmxb
1749-285,2.0,-28.50611111111111,lmxb
J1750.8-2900,2.0666666666666664,-29.038333333333334,lmxb
J1752.3-3138,2.1333333333333333,-31.628333333333334,lmxb
1755-338,2.6,-33.8075,lmxb
J1755-324,2.31,-32.4775,lmxb
1758-250,0.16999999999999998,-25.079166666666666,lmxb
1758-258,0.245,-25.740555555555556,lmxb
1758-205,0.5716666666666667,-20.528888888888886,lmxb
1803-245,1.0366666666666666,-24.5875,lmxb
J1806-246,1.05,-24.584999999999997,lmxb
J1808.4-3658,0.7256666666666667,-36.978972222222225,lmxb
J1810.8-2609,1.075,-26.150277777777777,lmxb
1811-171,0.985,-17.15722222222222,lmxb
1812-12,0.7,-12.083333333333334,lmxb
1813-140,0.5566666666666666,-14.036388888888888,lmxb
J1819.3-2525,0.9913333333333334,-25.42666666666667,lmxb
1820-303,1.4433333333333331,-30.36138888888889,lmxb
1822-371,1.6133333333333333,-37.10527777777778,lmxb
1822-000,1.2016666666666667,-0.012222222222222223,lmxb
1826-238,1.4166666666666667,-23.79138888888889,lmxb
1832-330,1.9,-32.981944444444444,lmxb
1837+049,2.2583333333333333,5.035833333333334,lmxb
1846-031,1.9183333333333332,-3.062222222222222,lmxb
1850-087,1.8483333333333334,-8.705555555555556,lmxb
J1856+053,2.5166666666666666,5.33,lmxb
J1859+226,2.626333333333333,22.658166666666666,lmxb
1905+000,0.7166666666666667,0.16888888888888887,lmxb
1908+005,0.6333333333333333,0.5850000000000001,lmxb
1915+105,0.7833333333333333,10.968333333333334,lmxb
1916-053,1.4,-5.235833333333334,lmxb
1918+146,0.95,14.694166666666668,lmxb
1940-04,2.033333333333333,-3.9,lmxb
1957+115,2.3666666666666667,11.708333333333332,lmxb
2000+251,0.8933333333333333,25.236666666666668,lmxb
J2012+381,1.03,38.183638888888886,lmxb
2023+338,0.8633333333333333,33.867777777777775,lmxb
J2123-058,1.009,-5.798027777777778,lmxb
2127+119,1.9383333333333332,12.167499999999999,lmxb
2129+470,1.47,47.29,lmxb
2142+380,2.1533333333333333,38.32166666666667,lmxb
2318+620,1.2349999999999999,62.2925,lmxb
J0032.9-7348,2.0016666666666665,-73.80527777777777,hmxb
J0049-732,2.1266666666666665,-73.18222222222222,hmxb
J0049-729,1.675,-72.84777777777778,hmxb
0050-727,1.835,-72.435,hmxb
J0050.7-7316,2.4116666666666666,-73.26805555555555,hmxb
J0051-722,2.5966666666666667,-72.23194444444445,hmxb
J0051.8-7231,2.5833333333333335,-72.52916666666667,hmxb
J0051.9-7311,2.5566666666666666,-73.17722222222223,hmxb
J0052.1-7319,1.965,-73.32027777777778,hmxb
J0052.9-7158,2.6333333333333333,-71.96888888888888,hmxb
0053-739,2.356666666666667,-73.68444444444445,hmxb
0053+604,2.5716666666666668,60.71666666666667,hmxb
J0053.8-7226,2.683333333333333,-72.44638888888889,hmxb
J0054-720,2.4,-72.06666666666666,hmxb
J0055-724,2.736166666666667,-72.441,hmxb
J0058-72.0,2.7066666666666666,-72.045,hmxb
J0058.2-7231,2.1449999999999996,-72.5125,hmxb
J0059.2-7138,2.1550000000000002,-71.64583333333334,hmxb
J0101.0-7206,0.051666666666666666,-72.11583333333333,hmxb
J0103-722,0.33166666666666667,-72.1538888888889,hmxb
0103-762,0.40166666666666667,-74.74444444444444,hmxb
J0105-722,0.31499999999999995,-72.19555555555556,hmxb
J0106.2-7205,0.45166666666666666,-72.09027777777777,hmxb
J0111.2-7317,0.5066666666666666,-73.27944444444444,hmxb
0114+650,0.6466666666666666,65.28861111111111,hmxb
0115+634,1.1316666666666668,63.74,hmxb
0115-737,0.6533333333333333,-73.44305555555556,hmxb
J0117.6-7330,1.2566666666666668,-73.51361111111112,hmxb
J0146.9+6121,1.9766666666666666,61.10722222222223,hmxb
0236+610,1.8599999999999999,61.22916666666667,hmxb
0331+530,2.131666666666667,53.17305555555555,hmxb
0352+309,2.216666666666667,31.045833333333334,hmxb
J0421+560,1.4,55.99,hmxb
J0440.9+4431,2.3316666666666666,44.530833333333334,hmxb
J0501.6-7034,0.43166666666666664,-70.55916666666667,hmxb
J0502.9-6626,0.9266666666666666,-66.44027777777778,hmxb
